IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.20.54.69,4,4,0.00,186.67,7.09,FRA,443
198.41.194.212,4,4,0.00,171.80,7.05,SJC,443
104.16.61.204,4,4,0.00,172.06,7.02,SJC,443
104.17.60.88,4,4,0.00,183.97,6.96,SJC,443
172.67.210.118,4,4,0.00,193.19,6.88,AMS,443
104.20.20.128,4,4,0.00,194.01,6.86,FRA,443
162.159.254.94,4,4,0.00,195.49,6.78,LAX,443
172.66.169.202,4,4,0.00,186.56,6.70,FRA,443
104.16.69.211,4,4,0.00,167.67,6.70,SJC,443
104.21.197.85,4,4,0.00,191.98,6.69,AMS,443
104.16.155.243,4,4,0.00,177.87,6.63,SJC,443
104.17.54.154,4,4,0.00,180.43,6.56,SJC,443
104.24.135.219,4,4,0.00,199.14,6.53,FRA,443
172.66.161.10,4,4,0.00,185.55,6.51,FRA,443
172.66.138.193,4,4,0.00,192.07,6.39,FRA,443
104.17.119.128,4,4,0.00,193.19,6.39,SJC,443
104.24.4.229,4,4,0.00,193.53,6.28,FRA,443
172.66.159.100,4,4,0.00,197.35,6.26,FRA,443
104.17.79.169,4,4,0.00,179.28,6.20,SJC,443
104.17.31.51,4,4,0.00,186.00,6.18,SJC,443
104.27.29.196,4,4,0.00,196.26,6.17,FRA,443
162.159.240.90,4,4,0.00,181.19,6.15,LAX,443
104.17.127.14,4,4,0.00,176.58,6.10,SJC,443
104.24.25.172,4,4,0.00,191.89,6.09,FRA,443
162.159.250.29,4,4,0.00,176.30,6.04,LAX,443
172.67.184.30,4,4,0.00,190.10,6.02,AMS,443
198.41.219.58,4,4,0.00,160.48,5.99,SJC,443
172.67.221.108,4,4,0.00,194.58,5.87,AMS,443
104.16.222.136,4,4,0.00,203.01,5.82,SJC,443
104.20.61.205,4,4,0.00,198.20,5.82,FRA,443
104.17.46.173,4,4,0.00,166.10,5.81,SJC,443
104.16.208.64,4,4,0.00,190.64,5.78,SJC,443
172.64.93.12,4,4,0.00,174.27,5.78,SJC,443
172.66.3.31,4,4,0.00,166.47,5.77,SJC,443
104.27.111.138,4,4,0.00,198.32,5.72,FRA,443
104.17.98.46,4,4,0.00,178.12,5.69,SJC,443
104.17.125.175,4,4,0.00,183.08,5.65,SJC,443
104.16.156.222,4,4,0.00,200.88,5.55,SJC,443
104.16.158.112,4,4,0.00,191.68,5.55,SJC,443
162.159.141.93,4,4,0.00,198.99,5.52,FRA,443
198.41.216.164,4,4,0.00,181.12,5.50,SJC,443
172.67.149.24,4,4,0.00,205.12,5.50,AMS,443
104.17.16.84,4,4,0.00,177.18,5.50,SJC,443
104.16.174.235,4,4,0.00,193.48,5.41,SJC,443
104.16.169.156,4,4,0.00,198.27,5.32,SJC,443
104.27.102.82,4,4,0.00,193.01,5.32,FRA,443
104.21.238.151,4,4,0.00,179.67,5.29,LAX,443
104.24.93.234,4,4,0.00,177.48,5.26,FRA,443
104.16.55.237,4,4,0.00,169.12,5.26,SJC,443
104.17.47.197,4,4,0.00,172.63,5.25,SJC,443
172.67.132.61,4,4,0.00,186.45,5.21,AMS,443
162.159.199.210,4,4,0.00,195.01,5.21,SJC,443
104.16.16.217,4,4,0.00,167.36,5.17,SJC,443
104.21.123.166,4,4,0.00,195.77,5.16,AMS,443
104.16.93.37,4,4,0.00,177.05,5.14,SJC,443
172.66.41.144,4,4,0.00,168.83,5.14,SJC,443
104.17.28.134,4,4,0.00,198.13,5.13,SJC,443
104.21.98.66,4,4,0.00,196.90,5.12,AMS,443
104.16.48.40,4,4,0.00,191.35,5.06,SJC,443
104.24.62.133,4,4,0.00,209.25,5.00,FRA,443
104.24.63.201,4,4,0.00,191.33,4.99,FRA,443
104.17.140.195,4,4,0.00,179.86,4.96,SJC,443
104.16.173.63,4,4,0.00,195.19,4.94,SJC,443
104.16.251.145,4,4,0.00,175.19,4.94,SJC,443
104.24.95.9,4,4,0.00,204.51,4.90,FRA,443
172.67.229.99,4,4,0.00,198.29,4.90,AMS,443
104.21.4.154,4,4,0.00,197.43,4.84,AMS,443
172.67.114.101,4,4,0.00,199.11,4.84,FRA,443
104.21.232.28,4,4,0.00,175.08,4.82,LAX,443
162.159.252.191,4,4,0.00,181.54,4.76,LAX,443
104.17.26.61,4,4,0.00,175.85,4.75,SJC,443
172.64.94.10,4,4,0.00,180.64,4.69,SJC,443
104.17.32.228,4,4,0.00,203.86,4.68,SJC,443
104.19.214.163,4,4,0.00,200.74,4.64,SJC,443
104.24.59.198,4,4,0.00,192.66,4.64,FRA,443
104.24.170.133,4,4,0.00,206.78,4.64,FRA,443
104.19.239.76,4,4,0.00,186.48,4.58,SJC,443
172.67.228.48,4,4,0.00,192.03,4.56,AMS,443
104.25.14.135,4,4,0.00,204.20,4.55,FRA,443
104.17.115.248,4,4,0.00,199.26,4.52,SJC,443
104.16.111.131,4,4,0.00,183.96,4.46,SJC,443
172.67.120.163,4,4,0.00,195.87,4.46,FRA,443
104.27.88.76,4,4,0.00,196.76,4.45,FRA,443
172.67.180.23,4,4,0.00,195.10,4.42,AMS,443
104.16.245.213,4,4,0.00,172.17,4.39,SJC,443
104.16.204.250,4,4,0.00,194.37,4.38,SJC,443
162.159.198.88,4,4,0.00,166.77,4.38,SJC,443
104.16.91.203,4,4,0.00,189.49,4.35,SJC,443
104.16.123.233,4,4,0.00,195.57,4.33,LAX,443
104.16.186.125,4,4,0.00,175.67,4.30,SJC,443
172.67.186.210,4,4,0.00,187.48,4.29,AMS,443
104.24.2.217,4,4,0.00,202.86,4.29,FRA,443
104.16.28.133,4,4,0.00,193.46,4.26,SJC,443
104.24.68.63,4,4,0.00,206.14,4.24,FRA,443
172.67.226.84,4,4,0.00,188.82,4.22,AMS,443
104.24.145.238,4,4,0.00,199.09,4.21,FRA,443
172.67.223.150,4,4,0.00,197.21,4.20,AMS,443
104.17.68.194,4,4,0.00,183.03,4.20,SJC,443
104.27.199.187,4,4,0.00,197.24,4.17,FRA,443
172.67.248.171,4,4,0.00,202.62,4.16,AMS,443
104.24.46.176,4,4,0.00,200.29,4.14,FRA,443
172.67.174.0,4,4,0.00,199.33,4.13,AMS,443
104.20.17.17,4,4,0.00,180.30,4.13,FRA,443
162.159.136.169,4,4,0.00,197.78,4.11,FRA,443
104.27.97.196,4,4,0.00,169.27,4.09,FRA,443
104.19.216.203,4,4,0.00,195.48,4.08,SJC,443
104.27.127.47,4,4,0.00,194.97,4.05,FRA,443
104.16.217.155,4,4,0.00,201.91,4.05,SJC,443
104.16.223.69,4,4,0.00,203.24,4.01,SJC,443
162.159.237.152,4,4,0.00,198.19,3.97,SJC,443
104.24.137.244,4,4,0.00,202.09,3.95,FRA,443
104.17.157.141,4,4,0.00,180.04,3.95,SJC,443
104.16.192.243,4,4,0.00,187.72,3.94,SJC,443
104.17.197.125,4,4,0.00,200.71,3.93,SJC,443
104.21.97.241,4,4,0.00,199.74,3.91,AMS,443
104.17.114.192,4,4,0.00,177.14,3.89,SJC,443
172.66.199.108,4,4,0.00,205.58,3.89,FRA,443
104.16.102.164,4,4,0.00,197.39,3.89,SJC,443
104.27.195.181,4,4,0.00,197.94,3.89,FRA,443
104.17.136.46,4,4,0.00,182.78,3.88,SJC,443
104.17.146.180,4,4,0.00,180.28,3.87,SJC,443
104.17.37.203,4,4,0.00,197.37,3.85,SJC,443
104.24.40.14,4,4,0.00,198.41,3.85,FRA,443
104.16.78.75,4,4,0.00,195.33,3.84,SJC,443
104.20.18.178,4,4,0.00,194.86,3.83,FRA,443
104.21.91.35,4,4,0.00,203.40,3.83,AMS,443
104.24.16.139,4,4,0.00,202.93,3.80,FRA,443
104.27.67.132,4,4,0.00,195.16,3.80,FRA,443
172.66.163.147,4,4,0.00,196.05,3.78,FRA,443
104.17.178.224,4,4,0.00,202.43,3.78,SJC,443
104.21.199.109,4,4,0.00,205.97,3.74,AMS,443
104.20.52.18,4,4,0.00,200.49,3.72,FRA,443
172.67.130.40,4,4,0.00,202.91,3.68,AMS,443
162.159.140.194,4,4,0.00,195.87,3.65,FRA,443
104.27.50.20,4,4,0.00,186.79,3.62,FRA,443
172.67.212.160,4,4,0.00,204.13,3.59,AMS,443
172.67.216.141,4,4,0.00,196.53,3.59,AMS,443
172.66.177.175,4,4,0.00,189.34,3.55,FRA,443
172.66.174.237,4,4,0.00,196.06,3.55,FRA,443
104.21.35.140,4,4,0.00,202.46,3.53,AMS,443
104.16.145.157,4,4,0.00,194.74,3.49,SJC,443
172.67.175.191,4,4,0.00,201.35,3.46,AMS,443
104.24.11.1,4,4,0.00,204.48,3.46,FRA,443
104.21.85.22,4,4,0.00,194.80,3.45,AMS,443
104.17.51.66,4,4,0.00,189.86,3.41,SJC,443
162.159.248.53,4,4,0.00,176.44,3.37,LAX,443
104.21.26.129,4,4,0.00,199.82,3.37,AMS,443
104.16.24.127,4,4,0.00,201.05,3.35,SJC,443
172.67.181.15,4,4,0.00,200.11,3.32,AMS,443
104.26.5.28,4,4,0.00,205.78,3.30,FRA,443
104.27.89.145,4,4,0.00,178.84,3.29,FRA,443
104.16.243.72,4,4,0.00,172.32,3.29,SJC,443
172.66.150.211,4,4,0.00,171.96,3.28,FRA,443
172.67.239.20,4,4,0.00,205.83,3.27,AMS,443
104.21.205.181,4,4,0.00,207.90,3.25,AMS,443
104.16.213.123,4,4,0.00,195.35,3.24,SJC,443
104.21.69.164,4,4,0.00,200.35,3.24,AMS,443
104.25.7.36,4,4,0.00,205.90,3.23,FRA,443
172.64.95.177,4,4,0.00,180.30,3.22,SJC,443
104.17.104.131,4,4,0.00,198.28,3.20,SJC,443
104.21.127.231,4,4,0.00,196.95,3.20,AMS,443
104.24.164.52,4,4,0.00,199.44,3.20,FRA,443
104.21.47.124,4,4,0.00,199.07,3.18,AMS,443
104.21.125.111,4,4,0.00,199.81,3.18,AMS,443
172.66.160.188,4,4,0.00,177.44,3.16,FRA,443
104.19.249.92,4,4,0.00,186.52,3.15,LAX,443
104.21.14.194,4,4,0.00,184.25,3.13,AMS,443
104.24.38.29,4,4,0.00,204.96,3.13,FRA,443
104.16.202.170,4,4,0.00,178.99,3.11,SJC,443
172.67.152.109,4,4,0.00,207.89,3.11,AMS,443
104.24.156.49,4,4,0.00,213.04,3.09,FRA,443
104.16.144.149,4,4,0.00,194.94,3.06,SJC,443
104.21.74.184,4,4,0.00,203.18,2.99,AMS,443
172.67.237.224,4,4,0.00,205.80,2.99,AMS,443
198.41.203.172,4,4,0.00,163.04,2.98,SJC,443
104.16.252.14,4,4,0.00,189.63,2.96,SJC,443
104.17.53.228,4,4,0.00,202.50,2.94,SJC,443
172.67.232.252,4,4,0.00,202.20,2.94,AMS,443
104.24.33.232,4,4,0.00,206.74,2.91,FRA,443
104.24.212.112,4,4,0.00,213.69,2.90,FRA,443
104.27.192.251,4,4,0.00,195.55,2.88,FRA,443
104.17.18.179,4,4,0.00,175.27,2.87,SJC,443
198.41.215.60,4,4,0.00,176.76,2.85,SJC,443
198.41.196.170,4,4,0.00,169.36,2.82,SJC,443
104.27.123.10,4,4,0.00,202.28,2.82,FRA,443
172.67.219.147,4,4,0.00,199.09,2.78,AMS,443
104.24.205.67,4,4,0.00,209.41,2.76,FRA,443
104.16.71.81,4,4,0.00,197.55,2.70,SJC,443
104.21.231.233,4,4,0.00,168.68,2.68,LAX,443
104.17.179.140,4,4,0.00,187.97,2.67,SJC,443
104.24.152.232,4,4,0.00,189.92,2.67,FRA,443
104.17.74.148,4,4,0.00,192.67,2.67,SJC,443
104.21.217.246,4,4,0.00,201.86,2.67,AMS,443
104.26.14.85,4,4,0.00,201.91,2.67,FRA,443
104.24.252.251,4,4,0.00,205.76,2.66,FRA,443
104.16.108.237,4,4,0.00,176.37,2.65,SJC,443
104.21.215.240,4,4,0.00,210.33,2.58,AMS,443
104.21.221.175,4,4,0.00,210.93,2.57,AMS,443
104.27.14.165,4,4,0.00,189.76,2.57,FRA,443
104.17.100.43,4,4,0.00,205.34,2.56,SJC,443
172.66.47.164,4,4,0.00,158.93,2.51,SJC,443
104.27.79.216,4,4,0.00,213.91,2.49,FRA,443
172.64.88.62,4,4,0.00,160.38,2.45,SJC,443
104.21.70.217,4,4,0.00,210.50,2.44,AMS,443
172.67.157.135,4,4,0.00,203.39,2.41,AMS,443
104.21.223.141,4,4,0.00,208.16,2.39,AMS,443
172.67.245.220,4,4,0.00,192.52,2.35,AMS,443
104.26.3.11,4,4,0.00,204.62,2.35,FRA,443
198.41.206.204,4,4,0.00,190.08,2.32,SJC,443
104.17.93.77,4,4,0.00,199.68,2.31,SJC,443
104.17.154.64,4,4,0.00,196.01,2.30,SJC,443
162.159.245.12,4,4,0.00,195.47,2.29,LAX,443
104.24.76.125,4,4,0.00,195.19,2.29,FRA,443
172.66.201.210,4,4,0.00,198.30,2.26,FRA,443
104.19.238.95,4,4,0.00,187.04,2.25,SJC,443
104.16.10.241,4,4,0.00,176.36,2.24,SJC,443
104.24.10.47,4,4,0.00,200.16,2.22,FRA,443
172.66.166.26,4,4,0.00,200.89,2.19,FRA,443
172.64.69.6,4,4,0.00,213.78,2.17,FRA,443
104.17.2.142,4,4,0.00,185.83,2.17,SJC,443
172.67.150.14,4,4,0.00,193.31,2.15,AMS,443
162.159.246.139,4,4,0.00,198.54,2.15,LAX,443
172.67.145.3,4,4,0.00,193.94,2.13,AMS,443
172.67.204.252,4,4,0.00,202.95,2.12,AMS,443
104.21.113.245,4,4,0.00,191.83,2.10,AMS,443
104.17.113.70,4,4,0.00,202.08,2.08,SJC,443
104.16.128.37,4,4,0.00,203.05,2.07,SJC,443
172.66.207.25,4,4,0.00,179.25,2.06,FRA,443
104.25.226.245,4,4,0.00,208.78,2.04,FRA,443
172.66.141.167,4,4,0.00,197.96,2.00,FRA,443
172.67.147.90,4,4,0.00,201.46,2.00,AMS,443
172.66.131.243,4,4,0.00,194.89,1.98,FRA,443
104.17.193.120,4,4,0.00,207.67,1.98,SJC,443
104.26.13.14,4,4,0.00,202.22,1.97,FRA,443
172.67.185.101,4,4,0.00,203.98,1.96,AMS,443
104.17.134.110,4,4,0.00,178.00,1.96,SJC,443
104.17.152.153,4,4,0.00,173.22,1.96,SJC,443
104.16.210.54,4,4,0.00,193.58,1.95,SJC,443
104.16.188.175,4,4,0.00,192.56,1.95,SJC,443
104.16.215.18,4,4,0.00,198.15,1.94,SJC,443
104.21.83.218,4,4,0.00,213.63,1.93,AMS,443
104.16.43.246,4,4,0.00,193.57,1.91,SJC,443
104.21.107.247,4,4,0.00,205.27,1.91,AMS,443
104.20.1.220,4,4,0.00,203.51,1.91,FRA,443
172.66.153.137,4,4,0.00,189.81,1.90,FRA,443
104.17.22.106,4,4,0.00,173.08,1.88,SJC,443
103.21.244.153,4,4,0.00,180.98,1.88,SJC,443
104.16.232.70,4,4,0.00,194.19,1.87,SJC,443
104.16.1.188,4,4,0.00,192.53,1.86,SJC,443
104.16.83.57,4,4,0.00,190.94,1.85,SJC,443
104.21.108.46,4,4,0.00,208.26,1.84,AMS,443
104.16.237.199,4,4,0.00,191.43,1.84,SJC,443
104.16.164.148,4,4,0.00,175.38,1.84,SJC,443
104.20.40.186,4,4,0.00,189.32,1.83,FRA,443
104.27.38.205,4,4,0.00,191.91,1.81,FRA,443
104.24.162.211,4,4,0.00,214.24,1.81,FRA,443
172.67.82.100,4,4,0.00,199.96,1.81,FRA,443
162.159.224.116,4,4,0.00,202.48,1.80,DEN,443
104.24.51.145,4,4,0.00,197.50,1.79,FRA,443
104.21.68.77,4,4,0.00,213.10,1.78,AMS,443
104.21.75.147,4,4,0.00,208.80,1.78,AMS,443
104.16.130.51,4,4,0.00,190.50,1.78,SJC,443
104.17.12.200,4,4,0.00,205.18,1.76,SJC,443
104.17.101.57,4,4,0.00,191.50,1.75,SJC,443
141.101.122.133,4,4,0.00,180.77,1.74,SJC,443
162.159.130.23,4,4,0.00,204.78,1.74,FRA,443
104.21.29.123,4,4,0.00,204.71,1.74,AMS,443
104.16.197.44,4,4,0.00,203.96,1.73,SJC,443
104.27.25.93,4,4,0.00,196.45,1.73,FRA,443
104.21.23.22,4,4,0.00,198.68,1.73,AMS,443
104.24.64.197,4,4,0.00,184.78,1.73,FRA,443
104.17.11.3,4,4,0.00,187.07,1.72,SJC,443
104.16.149.207,4,4,0.00,191.53,1.71,SJC,443
104.24.48.156,4,4,0.00,195.07,1.71,FRA,443
104.16.154.168,4,4,0.00,197.35,1.70,SJC,443
172.64.230.227,4,4,0.00,176.35,1.69,SJC,443
104.16.23.49,4,4,0.00,191.39,1.69,SJC,443
104.17.10.116,4,4,0.00,192.38,1.69,SJC,443
104.17.203.230,4,4,0.00,205.30,1.66,SJC,443
104.21.43.69,4,4,0.00,202.52,1.66,AMS,443
162.159.153.103,4,4,0.00,201.09,1.65,FRA,443
104.19.244.113,4,4,0.00,174.40,1.64,LAX,443
104.27.20.111,4,4,0.00,202.07,1.61,FRA,443
104.25.243.25,4,4,0.00,208.15,1.60,FRA,443
104.27.74.150,4,4,0.00,197.52,1.60,FRA,443
172.67.153.178,4,4,0.00,191.89,1.58,AMS,443
104.16.87.47,4,4,0.00,187.34,1.57,SJC,443
104.21.88.32,4,4,0.00,202.16,1.57,AMS,443
104.24.87.94,4,4,0.00,197.05,1.57,FRA,443
104.27.40.151,4,4,0.00,196.04,1.57,FRA,443
172.67.189.178,4,4,0.00,205.65,1.55,AMS,443
104.24.94.82,4,4,0.00,201.77,1.55,FRA,443
104.16.110.52,4,4,0.00,170.33,1.54,SJC,443
172.67.179.79,4,4,0.00,199.74,1.54,AMS,443
172.66.200.60,4,4,0.00,191.01,1.53,FRA,443
104.16.26.0,4,4,0.00,188.42,1.53,SJC,443
104.21.207.63,4,4,0.00,213.17,1.49,AMS,443
104.21.219.173,4,4,0.00,208.23,1.49,AMS,443
172.67.160.163,4,4,0.00,210.36,1.49,AMS,443
198.41.195.30,4,4,0.00,185.74,1.49,SJC,443
162.159.152.141,4,4,0.00,206.36,1.49,FRA,443
104.17.3.103,4,4,0.00,191.37,1.48,SJC,443
172.64.231.141,4,4,0.00,173.20,1.48,SJC,443
172.67.97.193,4,4,0.00,194.92,1.47,FRA,443
104.16.73.213,4,4,0.00,190.49,1.47,SJC,443
172.67.191.157,4,4,0.00,208.99,1.47,AMS,443
141.101.114.61,4,4,0.00,189.63,1.46,SJC,443
104.27.42.139,4,4,0.00,190.92,1.46,FRA,443
172.66.213.253,4,4,0.00,200.64,1.46,FRA,443
104.21.20.86,4,4,0.00,190.91,1.45,AMS,443
104.21.53.73,4,4,0.00,201.80,1.45,AMS,443
104.25.23.55,4,4,0.00,210.03,1.45,FRA,443
104.20.7.253,4,4,0.00,203.15,1.45,FRA,443
104.16.112.20,4,4,0.00,190.64,1.44,LAX,443
172.67.67.62,4,4,0.00,203.74,1.41,FRA,443
172.67.222.157,4,4,0.00,210.16,1.41,AMS,443
104.17.13.188,4,4,0.00,184.70,1.41,SJC,443
104.24.86.88,4,4,0.00,193.33,1.40,FRA,443
104.24.74.243,4,4,0.00,197.39,1.40,FRA,443
104.18.32.35,4,4,0.00,175.06,1.39,SIN,443
104.16.246.168,4,4,0.00,175.54,1.39,SJC,443
104.27.107.140,4,4,0.00,201.90,1.39,FRA,443
172.67.246.200,4,4,0.00,200.48,1.39,AMS,443
104.21.95.2,4,4,0.00,207.02,1.39,AMS,443
104.21.117.53,4,4,0.00,213.24,1.38,AMS,443
104.19.221.171,4,4,0.00,202.37,1.37,SJC,443
104.21.22.246,4,4,0.00,214.20,1.35,AMS,443
104.27.61.60,4,4,0.00,201.82,1.34,FRA,443
104.27.66.244,4,4,0.00,193.53,1.33,FRA,443
104.17.85.49,4,4,0.00,206.68,1.32,SJC,443
162.159.235.224,4,4,0.00,200.87,1.28,SJC,443
104.26.7.48,4,4,0.00,202.57,1.27,FRA,443
104.16.30.182,4,4,0.00,187.74,1.27,SJC,443
104.17.165.163,4,4,0.00,196.32,1.27,SJC,443
104.24.178.133,4,4,0.00,211.55,1.27,FRA,443
104.24.67.118,4,4,0.00,202.39,1.26,FRA,443
172.66.157.61,4,4,0.00,207.80,1.25,FRA,443
104.16.2.5,4,4,0.00,162.68,1.25,SJC,443
172.67.241.168,4,4,0.00,198.94,1.23,AMS,443
104.16.195.69,4,4,0.00,200.48,1.22,SJC,443
172.67.224.91,4,4,0.00,208.92,1.22,AMS,443
104.17.161.110,4,4,0.00,172.68,1.22,SJC,443
172.67.137.172,4,4,0.00,202.72,1.22,AMS,443
172.66.1.91,4,4,0.00,175.12,1.19,SJC,443
172.67.190.243,4,4,0.00,194.83,1.18,AMS,443
172.67.66.252,4,4,0.00,198.36,1.17,FRA,443
104.24.90.185,4,4,0.00,191.21,1.17,FRA,443
104.17.185.169,4,4,0.00,212.52,1.17,SJC,443
104.21.78.53,4,4,0.00,202.92,1.16,AMS,443
104.17.52.78,4,4,0.00,196.27,1.16,SJC,443
104.16.70.26,4,4,0.00,185.89,1.16,SJC,443
104.16.172.46,4,4,0.00,170.34,1.16,SJC,443
104.21.89.77,4,4,0.00,204.19,1.14,AMS,443
104.16.107.34,4,4,0.00,181.82,1.14,SJC,443
104.16.7.205,4,4,0.00,190.01,1.14,SJC,443
172.64.83.42,4,4,0.00,183.08,1.13,SJC,443
190.93.244.163,4,4,0.00,195.43,1.13,SJC,443
104.17.5.104,4,4,0.00,191.38,1.12,SJC,443
104.16.19.246,4,4,0.00,183.30,1.11,SJC,443
172.67.155.189,4,4,0.00,200.16,1.10,AMS,443
104.16.52.8,4,4,0.00,183.25,1.10,SJC,443
104.16.140.59,4,4,0.00,194.07,1.09,SJC,443
104.16.129.5,4,4,0.00,206.73,1.08,SJC,443
104.16.8.216,4,4,0.00,181.38,1.07,SJC,443
104.16.47.97,4,4,0.00,198.32,1.07,SJC,443
104.25.240.125,4,4,0.00,212.32,1.07,FRA,443
104.16.32.173,4,4,0.00,191.01,1.06,SJC,443
104.17.34.209,4,4,0.00,170.76,1.06,SJC,443
104.27.203.20,4,4,0.00,183.69,1.06,FRA,443
104.24.26.51,4,4,0.00,207.06,1.05,FRA,443
104.17.111.86,4,4,0.00,207.72,1.05,SJC,443
172.66.193.151,4,4,0.00,197.59,1.05,FRA,443
104.16.150.177,4,4,0.00,195.14,1.02,SJC,443
104.21.106.182,4,4,0.00,205.09,1.02,AMS,443
104.16.15.194,4,4,0.00,167.00,1.02,SJC,443
104.16.198.217,4,4,0.00,195.53,1.01,SJC,443
104.16.221.32,4,4,0.00,174.49,1.01,SJC,443
104.17.0.174,4,4,0.00,189.75,1.00,SJC,443
104.16.136.8,4,4,0.00,176.19,1.00,SJC,443
104.27.91.70,4,4,0.00,200.22,1.00,FRA,443
